,screen_name,date,text,compound,negative,neutral,positive
55,CBS,Mon Jan 29 22:45:21 +0000 2018,Superstar @Pink left it all on the stage last night in a simply stunning performance that brought the crowd to thei… https://t.co/B9Tj5INcNu,0.3818,0.0,0.885,0.115
56,CBS,Mon Jan 29 22:10:15 +0000 2018,Check out these photos of the night's best backstage moments you didn't see on TV! Here's what you missed at The 60… https://t.co/6TBI8NV8JJ,0.5093,0.079,0.758,0.162
57,CBS,Mon Jan 29 20:00:04 +0000 2018,The dapper duo of @itstonybennett and @johnlegend brought down the #GRAMMYs house with an impromptu duet.… https://t.co/ucRrAFk59f,0.0,0.0,1.0,0.0
58,CBS,Mon Jan 29 19:00:05 +0000 2018,?@BrunoMars worked his 24K Magic to become the night's biggest winner. See his #GRAMMYs acceptance speech for Album… https://t.co/dXzjWH0myx,0.7783,0.0,0.714,0.286
59,CBS,Mon Jan 29 18:00:02 +0000 2018,When your win at The #GRAMMYs feels like 24K Magic! Congratulations to @BrunoMars for taking home six awards this y… https://t.co/UhWCE8OKfK,0.9259,0.0,0.558,0.442
60,CBS,Mon Jan 29 17:15:04 +0000 2018,?@LadyGaga's stripped-down performance soared on the #GRAMMYs stage. See all the night's performances here:… https://t.co/Dw6xSzeeGC,0.0,0.0,1.0,0.0
61,CBS,Mon Jan 29 16:00:05 +0000 2018,"Relive epic GRAMMY rock performances from @Metallica, @beck, @coldplay and more on @AppleMusic. Start your free tri… https://t.co/xmkaZGjlMM",0.5106,0.0,0.837,0.163
62,CBS,Mon Jan 29 15:00:03 +0000 2018,"The #GRAMMYs were full of emotional performances, stirring speeches, and jaw-dropping fashion. See all the red carp… https://t.co/yqpOW9tWm3",0.1531,0.0,0.914,0.086
63,CBS,Mon Jan 29 14:00:02 +0000 2018,Watch @BrunoMars and @iamcardib pull out all the stops at the #GRAMMYs for their fun and funky duet of 'Finesse.'… https://t.co/z1ZTosotw9,0.3182,0.123,0.741,0.136
64,CBS,Mon Jan 29 13:00:01 +0000 2018,"With his powerful single 'Pray,"" @samsmithworld captivated the #GRAMMYs crowd. Watch the full performance:… https://t.co/159qGVFyxW",0.6597,0.0,0.707,0.293
65,CBS,Mon Jan 29 12:00:03 +0000 2018,Music's biggest stars came together for a night of celebration and song at the The 60th Annual #GRAMMYs! Stream the… https://t.co/flFIflTQ5s,0.0,0.0,1.0,0.0
66,CBS,Mon Jan 29 08:18:18 +0000 2018,The stage was packed with star power from start to finish on Music's Biggest Night®! Catch up on all the live perfo… https://t.co/Mzqp82FiUS,0.0,0.0,1.0,0.0
67,CBS,Mon Jan 29 07:40:26 +0000 2018,See who won big on Music's Biggest Night®?: https://t.co/yyb8bwMqEx #GRAMMYs https://t.co/OgV3UcK3jw,0.5719,0.0,0.73,0.27
68,CBS,Mon Jan 29 07:25:04 +0000 2018,Get ready to sing along as @eltonofficial and @MileyCyrus deliver an unforgettable rendition of the iconic song 'Ti… https://t.co/upVo9SZUCh,0.3612,0.0,0.878,0.122
69,CBS,Mon Jan 29 07:01:01 +0000 2018,"See @littlebigtown belt out a heartfelt version of their hit song 'Better Man,' written by @taylorswift13:… https://t.co/mQJZ4lIOtZ",0.7506,0.0,0.686,0.314
70,CBS,Mon Jan 29 06:15:02 +0000 2018,See @U2's intense #GRAMMYs performance in front of the majestic Statue of Liberty: https://t.co/Y1ZhzDYPdt https://t.co/SOf9kpMHOq,0.5719,0.0,0.734,0.266
71,CBS,Mon Jan 29 05:34:44 +0000 2018,"Relive @LuisFonsi, @daddy_yankee, and @zuleyka_rivera's electric performance of 'Despacito' that lit up the… https://t.co/9m1mytX9VW",0.0,0.0,1.0,0.0
72,CBS,Mon Jan 29 04:19:55 +0000 2018,We caught up with @imjmichaels on the #GRAMMYs red carpet and learned all about how @IBM is using Watson and AI to… https://t.co/sJpn44xPnV,0.0,0.0,1.0,0.0
73,CBS,Mon Jan 29 04:12:46 +0000 2018,"It was real y'all. Congratulations to everyone who won and all who were nominated. Finally, thank you to everyone w… https://t.co/jqBkGTtEyM",0.8779,0.0,0.641,0.359
