,screen_name,date,text,compound,negative,neutral,positive
72,FoxNews,Fri Feb 02 20:01:18 +0000 2018,RT @FoxBusiness: Americans' big spending for Super Bowl Sunday festivities https://t.co/3OKUHPHBSM,0.7906,0.0,0.562,0.438
73,FoxNews,Fri Feb 02 19:49:03 +0000 2018,House Intelligence Committee releases GOP surveillance #memo. #MemoDay https://t.co/jT5YHRsYjz https://t.co/vxx4MJs6rZ,0.4767,0.0,0.744,0.256
74,FoxNews,Fri Feb 02 19:39:27 +0000 2018,"Moments ago, actor @RealJamesWoods did not hold back in his reaction to the Nunes memo. https://t.co/5v5qfh17vS… https://t.co/kK1wFlLnIS",0.0,0.0,1.0,0.0
75,FoxNews,Fri Feb 02 19:38:38 +0000 2018,RT @FoxBusiness: U.S. markets - from Election Day. https://t.co/CQSMX7OFej,0.0,0.0,1.0,0.0
76,FoxNews,Fri Feb 02 19:35:48 +0000 2018,FISA Memo: Dossier Author Steele Admitted He Was 'Desperate' for Trump Not to Get Elected https://t.co/db1jeHEJmR,0.1027,0.0,0.915,0.085
77,FoxNews,Fri Feb 02 19:31:44 +0000 2018,.@SpeakerRyan statement on #Memo. #MemoDay https://t.co/jT5YHRsYjz https://t.co/bIbyx5Ibo0,0.0,0.0,1.0,0.0
78,FoxNews,Fri Feb 02 19:30:59 +0000 2018,RT @FoxBusiness: Twinkie maker to give out bonuses after Trump tax cut https://t.co/NiMgV9vkpT,0.3612,0.126,0.659,0.216
79,FoxNews,Fri Feb 02 19:30:51 +0000 2018,"RT @FoxBusiness: .@CBedfordDC on the potential impact on the stock market from the FISA memo: ""We shouldn't really watch for any real serio…",0.0,0.0,1.0,0.0
80,FoxNews,Fri Feb 02 19:29:29 +0000 2018,'A Lot of People Should Be Ashamed': President Trump Reacts to Surveillance Memo #MemoDay https://t.co/jT5YHRsYjz https://t.co/tIo56nN9s7,0.0,0.0,1.0,0.0
81,FoxNews,Fri Feb 02 19:25:52 +0000 2018,What is Nunes' FISA memo? 6 things to know about the secret document https://t.co/e6YLG66ey4,0.0,0.0,1.0,0.0
